id,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,1180,0,1955,0,98178,47.5112,-122.257,1340,5650
6414100192,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
5631500400,770,0,1933,0,98028,47.7379,-122.233,2720,8062
2487200875,1050,910,1965,0,98136,47.5208,-122.393,1360,5000
1954400510,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
7237550310,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
1321400060,1715,0,1995,0,98003,47.3097,-122.327,2238,6819
2008000270,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
2414600126,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
3793500160,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
1736800520,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
9212900260,860,300,1942,0,98115,47.69,-122.292,1330,6000
114101516,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
6054650070,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
1175000570,1810,0,1900,0,98107,47.67,-122.394,1360,4850
9297300055,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
1875500060,1890,0,1994,0,98019,47.7277,-121.962,1890,14018
6865200140,1600,0,1916,0,98103,47.6648,-122.343,1610,4300
16000397,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
7983200060,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
6300500875,860,760,1947,0,98133,47.7025,-122.341,1400,4980
2524049179,2330,720,1968,0,98040,47.5316,-122.233,4110,20336
7137970340,2270,0,1995,0,98092,47.3266,-122.169,2240,7005
8091400200,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
3814700200,2450,0,1985,0,98030,47.3739,-122.172,2200,6865
1202000200,1710,0,1941,0,98002,47.3048,-122.218,1030,4705
1794500383,1750,700,1915,0,98119,47.6386,-122.36,1760,3573
3303700376,1400,0,1909,0,98112,47.6221,-122.314,1860,3861
5101402488,790,730,1948,0,98115,47.695,-122.304,1520,6235
1873100390,2570,0,2005,0,98052,47.7073,-122.11,2630,6026
8562750320,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
2426039314,1190,0,2005,0,98133,47.7274,-122.357,1390,1756
461000390,1510,820,1929,0,98117,47.6823,-122.368,1460,5000
7589200193,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
7955080270,1280,780,1981,0,98058,47.4276,-122.157,2020,8720
9547205180,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
9435300030,930,730,1933,0,98052,47.6621,-122.132,2160,11467
2768000400,2360,0,1904,0,98107,47.6702,-122.362,1730,4700
7895500070,890,330,1969,0,98001,47.3341,-122.282,1290,7800
2078500320,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
5547700270,2570,0,2000,0,98074,47.6145,-122.027,2470,5669
7766200013,2600,1620,1984,0,98166,47.445,-122.347,2410,30617
7203220400,3595,0,2014,0,98053,47.6848,-122.016,3625,5639
9270200160,1570,0,1922,0,98119,47.6413,-122.364,1580,2640
1432701230,920,360,1959,0,98058,47.4485,-122.175,1340,8808
8035350320,3160,0,2003,0,98019,47.7443,-121.977,3050,9232
